Was ist der Unterschied zwischen Polling und interruptgesteuerter Verarbeitung?	Unter Polling versteht man das zyklische Abfragen von einer Ereignisquelle&nbsp;um anliegende Ereignisse&nbsp;abzufrage.<br><br>Polling hat den Nachteil, dass die CPU ständig arbeiten muss und damit die Effizienz eines Systems beeinträchtigt ist.<br><br>Interrupts sind Betriebssystembedingungen die den Prozessor veranlassen, einenvordefinierten Code auszuführen, der außerhalb des normalen Programmflusses liegt.<br><br>Ereignisquellen melden sich beim Auftreten eines Ereignisses, das behandelt<br>werden muss.
Wozu dient ein Systemcall und wie wird er üblicherweise von einem Betriebssystem wie Windows oder Unix ausgeführt?	Ein Systemcall ist ein synchroner, also ein vorhersehbarer und reproduzierbarer Interrupt und wird auch als Software-Interrupt bezeichnet.<br><br>Ein Systemcall ist ein Dienstaufruf an das Betriebssystem, bei dessen Ausführung in den Kernelmodus gewechselt wird.<br><br>Der Kontrollfluss wird dabei meist von einem Anwendungsprogramm an den Kernel übergeben.
Was bedeutet Maskierung von Unterbrechungsanforderungen?	Eine Maskierung ist das explizite Ausschalten eines Interrupts.<br><br>Die Maskierung erfolgt&nbsp;über ein Maskenregister, für jede Interrupt-Quelle wird in dem Register ein Maskierungsbit verwaltet, wird das Bit auf 1 gesetzt, ist der Interrupt ausgeschaltet.
Wie erkennt die CPU, dass eine Unterbrechungsanforderung ansteht?	Die Prüfung, ob eine Unterbrechung ansteht, ist Teil des Befehlszyklus. Nach Ausführung eines Maschinenbefehls wird überprüft, ob ein Interrupt-Request anliegt.
Was versteht man unter einer Interrupt-Vektor-Tabelle?	Dies ist eine Tabelle, welche Interrupt-Vektoren, also die eigentlichen Einsprungadressen der Interrupt-Service-Routinen enthält und an einer vordefinierten Stelle im Kernelspeicher liegt.
Was ist eine Interrupt-Service-Routine und wann wird sie aufgerufen?	Das Programmstück, das den Interrupt bearbeitet, wird als Interrupt-Service-Routine (ISR, Interrupt-Bearbeitungsroutine) bezeichnet.
Was bedeutet Interrupt-Sharing?	Beim Interrupt-Sharing teilen sich mehrere Geräte eine Interrupt-Nummer. Bei Auftreten eines Interrupts muss dann ermittelt werden, welches Gerät den Interrupt tatsächlich ausgelöst hat. Diese Aufgabe erledigt meist das Betriebssystem.
Erläutern Sie die Abwicklung eines Hardware-Interrupts unter Linux.	<ol><li>In der Kernelmodus wechseln</li><li>Register sichern</li><li>Später&nbsp;auszuführenden&nbsp;Aufgaben in das&nbsp;Tasklet struct speichern</li><li>Tasklet struct an&nbsp;Tasklet-Scheduler geben damit dieser die Tasks nach dem Interrupt abarbeiten kann</li><li>Interrupt aus der Tabelle ausführen</li></ol>
Erläutern Sie die Abwicklung eines Systemcalls.	<ol><li>Der aktuelle Kontext wird gesichert</li><li>Der Program Counter wird mit der Adresse von der Systemroutine belegt</li><li>Es wird in den Kernelmodus gewechselt</li><li>Systemroutine wird ausgeführt</li><li>Kontext wird wiederhergestellt</li><li>Program Counter wird mit der Adresse des Befehls nach der Systemroutine belegt</li></ol>
Nennen Sie den Unterschied zwischen einem synchronen und asynchronen Interrupt.	Synchrone Interrupts (Exceptions) treten immer an der gleichen&nbsp;Programmstelle auf.<br><br>Asynchrone Interrupts sind die klassischen Interrupt-Typen, die nicht an ein laufendes Programm gebunden sind.<br><br>Asynchrone Interrupts sind nicht vorhersehbar und können auch nicht ohne weiteres reproduziert werden.
