Was ist ein Von-Neumann-Rechner und wie unterscheidet er sich von einem Harvard-Rechner?;Von-Neumann-Rechner: Vier Funktionseinheiten Leitwerk (Control Unit, CU), Rechenwerk (Processing Unit, PU), Speicher (Memory), Ein-/Ausgabe (Input/Output, E/A). Harvard-Rechner (Nach der Struktur des Mark-I-Rechners benannt):  Unterschied zum Von-Neumann-Rechner zwei getrennte Speicher, einen für die Daten und einen für die Maschinenbefehle. Beide Speicher werden auch über einen getrennten Bus mit der CPU verbunden.
Wozu braucht man in Computern CPU-Register?;Schnelle Speicher, um die Maschinenbefehle auszuführen. Je nach Maschinenbefehl werden eines oder mehrere Register benötigt. Die Maschinenbefehle schreiben ihre Operanden oft in Register oder lesen Operanden aus Registern. Benennung je nach Typ z.B. Integerregister, Universalregister, Gleitkommaregister, Datenregister, Segmentregister usw.
Was ist ein Program Status Word (PSW) und wozu wird es verwendet?;Statusregister für Vergleichsoperationen und weitere Kontrollbits z.B. aktueller Status der Rechneranlage 
Was ist ein Mehrzweck- oder Universalbetriebssystem?;Betriebssystem für verscheidenste Anwendung (überwiegend betriebliche und verwaltungstechnische Aufgabenstellungen, eher weniger für Realzeitprobleme) -> keine Realtime-Eigenschaften
Was ist ein Mehrkernprozessor?;Mehrere vollständige CPUs, viele Ressourcen (Ausnahme Bus und einige Caches) repliziert
Welche Unix-Standards kennen Sie und was ist standardisiert?;XPG (OpenGroup), SVID (System V), POSIX (IEEE) und SUS (The Single Unix Specification). Standardisierung der Schnittstellen (Kommandoschnittstelle, Programmschnittstellen für Kerndienste)
Was versteht man unter einem Mikrokern?;Enthält einen leichtgewichtigen Kernel, Entlastung durch Auslagerungen von Serverprozesse (Funktionalität in Anwendungsprozesse), Kernel übernimmt Abwicklung der Komminikation zwischen Client- und Serverprozessen. Zugriff (Request): Clientprozesse <-> Service-Request-Schnittstelle <-> Mikrokern <-> Awendungsprozess [Serverprozess]
Nennen Sie ein Beispiel für ein Betriebssystem mit Mikrokern-Achitektur!;Mach von der Carnegy Mellon University (CMU), Mac OS X, Hurt, L4, Amoeba, Chorus
Nennen Sie vier Betriebsmittel, welche das Betriebssystem verwaltet! Welche davon sind hardware- und welche software-technische Betriebsmittel?;Speicher (Hardware), Prozessor (Hardware), Gerät (Hardware), Datei (Software), Nachricht (Software), Prozess (Software)
Erläutern Sie den Unterschied zwischen Teilnehmer- und Teilhaberbetrieb! In welcher Betriebsart wird üblicherweise ein Transaktionsmonitor eingesetzt?;Teilnehmerbetrieb: Jeder Anwender eigenen Benutzerprozess und weitere Betriebsmittel. Anmeldung einen Login-Dialog. Teilhaberbetrieb: Zuteilung von Prozesse und Betriebsmittel über Transaktionsmonitor (effiziente Verteilung an die Benutzer, so als hätte der Benutzer eigenen Prozess zugeordnet bekommen). Ideal für dialogorientierte Programme (kurze und schnelle Transaktionen) z.B. Buchungssystem für Flugbuchungen.  
