Was ist der Unterschied zwischen Polling und interruptgesteuerter Verarbeitung?;Polling: Zyklische Abfragen von Ereignisquellen (z.B. E/A-Geräte), um Kommunikationsbereitschaft festzustellen bzw. um anliegende Ereignisse oder Kommunikationswünsche abzufragen. Nachteil: CPU muss ständig arbeiten (Effizienz beeinträchtigt, Nachfrage umsonst). Vorteil: Leicht zu implementieren. Interrupts: sog. Betriebssystembedingungen oder asynchrone Ereignisse, die Prozessor dazu veranlassen, vordefinierten Code auszuführen, der außerhalb des normalen Programmflusses liegt. Überwachte Ereignisquellen müssen nicht ständig abgefragt werden., sondern melden sich beim Auftreten eines Ereignisses, das behandelt werden muss.
Wozu dient der System Call und wie wird er üblicherweise von einem Betriebssystem wie Windows oder Unix ausgeführt?; Systemcall (auch Software-Interrupt) ist ein synchroner, also vorhersehbarer und reproduzierbar Interrupt. Ist ein Dienstaufruf an das Betriebssystem, bei dessen Ausführung in den Kernelmodus gewechselt wird. Kontrollfluss wird an den Kernel über ein Anwendungsprogramm übergeben.
Was bedeutet Maskierung von Unterbrechungsanforderungen?;- Explizites Ausschalten eines Interrupts für ein bestimmtes Gerät.- Maskierung erfolgt über ein Maskenregister
Wie erkennt die CPU, daß eine Unterbrechungsanforderung ansteht?;- Prüfung im Befehlszyklus, ob ein Interrupt-Request vorliegt nach Ausführung eines Maschinenbefehls.- Bei Anliegen wird ISR oder Verteilungsroutine verzweigt.
Was versteht man unter einer Interrupt-Vektor-Tabelle?;- Tabelle mit Einsprungadressen- Liegt an vordefinierter Stelle im Kernelspeicher
Was ist eine Interrupt-Service-Routine und wann wird sie aufgerufen?;- Programmstück zur Bearbeitung von Interrupts- Jeder Interrupt Typ hat seine eigene ISR- ISR kann mehreren Interrupt Typen zugeordnet werden- Betriebssystem bietet passende ISRs für alle Interrupts
Was bedeuetet Interrupt-Sharing?;- Mehrere Geräte teilen sich eine Interrupt-Nummer.- Betriebssystem ermittelt, welches Gerät den Interrupt ausgelöst hat.
Erläutern Sie die Abwicklung eines Hardware-Interrupts unter Linux!;1) Linux verwaltet eine Tabelle mit Interrupt-Handlern.2) Jeder Interrupt wird einem Handler durch einen Index zugeordnet.3) Bei einem Interrupt erfolgt der Wechsel in den Kernelmodus und die Sicherung der Register.4) Nicht sofort zu erledigende Aufgaben werden notiert und später mit dem Tasklet-Mechanismus abgewickelt.5) Ein Tasklet wird durch eine Datenstruktur (tasklet_struct) erstellt.6) Das Tasklet wird durch die Kernel-Scheduler-Funktion (tasklet_schedule) registriert.7) Der Tasklet-Scheduler verwaltet und führt die Abarbeitung der anstehenden Tasklets durch.
Erläutern Sie die Behandlung eines System Calls!;Erfolgt durch speziellen Maschinenbefehl des Prozessors (Supervisor-Call (SVC)). Abwicklung:1) Sicherung des aktuellen Prozesskontexts.2) Belegung des Program Counter mit der passenden Systemroutine-Adresse.3) Wechsel vom Benutzermodus in den Kernelmodus.4) Durchführung der adressierten Systemroutine (Systemcall).5) Wiederherstellung des alten Prozesskontexts.6) Der Program Counter wird mit der Adresse des Befehls nach dem Systemcall belegt.
Erläutern Sie den Unterschied zwischen einem synchronen und einem asynchronen Interrupt!;1)Synchroner Interrupt:- Tritt bei synchronen Ereignissen auf, die unter identischen Randbedingungen immer an derselben Stelle im Programm auftreten.- Auch als Ausnahmen (Exceptions) bezeichnet.- Von der CPU selbst ausgelöst und für das laufende Programm bestimmt.2) Asynchroner Interrupt:- Klassische Interrupt-Typen, unabhängig von einem laufenden Programm.- Tritt unabhängig davon auf, was das System gerade macht.- Beispiele: Ankunft einer Nachricht an einem Netzwerkadapter, Zustellung eines Plattenspeicherblocks.- Unterbrechen in der Regel für kurze Zeit Ablauf des laufenden Programms.- Nicht vorhersehbar und nicht reproduzierbar.
